,state,number_of_schools,lon,lat
0,AL,92,-86.7570966521739,32.867742119565214
1,AK,10,-148.61696320000001,62.518683599999996
2,WA,107,-121.35227168224301,47.328952289719616
3,AZ,126,-111.90290519047622,33.39896276984126
4,NM,49,-106.1195040612245,34.573200816326526
5,AR,96,-92.67352707291667,35.09181279166666
6,TN,164,-86.75663885365853,35.793884963414634
7,CA,763,-119.29490731192662,35.332449798165136
8,IL,271,-88.44037423247232,41.25454382287823
9,VA,173,-77.86472863583815,37.59445794219653
10,MA,167,-71.49716574251498,42.30480906586826
11,MN,119,-93.634858394958,45.39968484033613
12,CO,112,-105.0733591875,39.493528437500004
13,MD,91,-76.8114374945055,39.1867692967033
14,TX,456,-97.51805462061402,30.916616359649126
15,CT,83,-72.7823331686747,41.51284951807229
16,NY,472,-74.80019676271186,41.62716822669491
17,DE,22,-75.56597949999998,39.413582
18,DC,25,-77.0323246,38.919376119999995
19,FL,397,-81.47323023677582,27.638660413098236
20,GA,179,-83.79240068715085,33.30574132402235
21,HI,23,-157.48991426086957,21.11393352173913
22,ID,39,-115.14214074358974,44.21460192307692
23,IN,142,-86.22436981690142,40.12416181690141
24,MI,199,-84.33377291959799,42.91218271356784
25,KY,94,-85.04823103191488,37.85470313829787
26,IA,86,-92.92016543023256,42.06373745348837
27,MO,174,-92.46341753448274,38.42405001149425
28,KS,83,-96.60893643373495,38.42835291566265
29,LA,128,-91.530338703125,30.7501837265625
30,ME,41,-69.5754843902439,44.387532487804876
31,MS,63,-89.73929544444447,32.666566619047614
32,UT,73,-112.03421652054794,40.169970945205485
33,OK,114,-96.86000184210526,35.61936238596491
34,MT,35,-110.96280408571428,46.65894451428571
35,NE,47,-97.18376695744679,41.174068659574466
36,NV,42,-116.38367997619046,37.105595452380946
37,NH,39,-71.60390812820513,43.15198971794872
38,NJ,171,-74.39148684210527,40.44892889473684
39,NC,186,-79.70397247311828,35.584567736559144
40,ND,28,-99.20507964285714,47.23168064285714
41,OH,312,-82.74996068589745,40.45566645192308
42,WV,74,-80.62703336486486,38.86603101351351
43,PA,363,-77.17160230853995,40.477835983471074
44,OR,80,-122.5899820375,44.8000767875
45,RI,24,-71.42564429166667,41.767047041666665
46,SC,102,-81.06006582352941,34.00842134313725
47,SD,30,-99.09101386666666,43.930260833333335
48,VT,26,-72.80760542307692,43.9030793076923
49,WI,104,-88.87218725,43.58755602884616
50,WY,10,-106.46803680000001,42.3911968
51,AS,1,-170.742774,-14.322636
52,GU,3,144.81624766666667,13.446247333333332
53,MP,1,145.721733,15.152247000000001
54,PR,152,-66.33485849342105,18.30809622368421
55,FM,1,158.158189,6.909758999999999
56,PW,1,134.47374399999998,7.343177000000001
57,VI,2,-64.885713,18.030154
58,MH,1,171.378129,7.102688000000001
